"id";"timestamp";"activity"
"6";"01-01-1970 01:00:37.200";"IN_1_0"
"4";"01-01-1970 01:00:37.200";"IN_2_0"
"2";"01-01-1970 01:00:37.200";"IN_3_0"
"0";"01-01-1970 01:00:37.200";"IN_4_0"
"5";"01-01-1970 01:00:37.200";"IN_5_0"
"1";"01-01-1970 01:00:37.200";"IN_6_0"
"3";"01-01-1970 01:00:37.200";"IN_7_0"
"3";"01-01-1970 01:00:59.000";"IN_7_3-y"
"2";"01-01-1970 01:00:59.500";"IN_3_3-x"
"2";"01-01-1970 01:01:01.600";"IN_4_3-x"
"1";"01-01-1970 01:01:04.400";"IN_6_3-x"
"13";"01-01-1970 01:01:04.600";"IN_1_0"
"11";"01-01-1970 01:01:04.600";"IN_2_0"
"9";"01-01-1970 01:01:04.600";"IN_3_0"
"7";"01-01-1970 01:01:04.600";"IN_4_0"
"12";"01-01-1970 01:01:04.600";"IN_5_0"
"8";"01-01-1970 01:01:04.600";"IN_6_0"
"10";"01-01-1970 01:01:04.600";"IN_7_0"
"0";"01-01-1970 01:01:04.800";"IN_4_3-x"
"5";"01-01-1970 01:01:10.600";"IN_5_3-x"
"1";"01-01-1970 01:01:15.900";"IN_7_3-y"
"5";"01-01-1970 01:01:18.000";"IN_6_3-x"
"10";"01-01-1970 01:01:26.400";"IN_7_3-y"
"9";"01-01-1970 01:01:26.900";"IN_3_3-x"
"9";"01-01-1970 01:01:29.000";"IN_4_3-x"
"5";"01-01-1970 01:01:29.600";"IN_7_3-y"
"8";"01-01-1970 01:01:31.800";"IN_6_3-x"
"7";"01-01-1970 01:01:32.200";"IN_4_3-x"
"20";"01-01-1970 01:01:36.900";"IN_1_0"
"18";"01-01-1970 01:01:36.900";"IN_2_0"
"16";"01-01-1970 01:01:36.900";"IN_3_0"
"14";"01-01-1970 01:01:36.900";"IN_4_0"
"19";"01-01-1970 01:01:36.900";"IN_5_0"
"15";"01-01-1970 01:01:36.900";"IN_6_0"
"17";"01-01-1970 01:01:36.900";"IN_7_0"
"12";"01-01-1970 01:01:38.000";"IN_5_3-x"
"6";"01-01-1970 01:01:40.200";"IN_1_3-x"
"6";"01-01-1970 01:01:42.300";"IN_2_3-x"
"8";"01-01-1970 01:01:43.300";"IN_7_3-y"
"6";"01-01-1970 01:01:45.300";"IN_3_3-x"
"12";"01-01-1970 01:01:45.400";"IN_6_3-x"
"6";"01-01-1970 01:01:47.500";"IN_4_3-x"
"3";"01-01-1970 01:01:51.800";"y-S1_0"
"12";"01-01-1970 01:01:57.000";"IN_7_3-y"
"2";"01-01-1970 01:01:57.900";"IN_5_3-x"
"17";"01-01-1970 01:01:58.700";"IN_7_3-y"
"16";"01-01-1970 01:01:59.200";"IN_3_3-x"
"0";"01-01-1970 01:02:01.000";"IN_5_3-x"
"16";"01-01-1970 01:02:01.300";"IN_4_3-x"
"14";"01-01-1970 01:02:04.500";"IN_4_3-x"
"2";"01-01-1970 01:02:05.400";"IN_6_3-x"
"13";"01-01-1970 01:02:07.600";"IN_1_3-x"
"27";"01-01-1970 01:02:08.100";"IN_1_0"
"25";"01-01-1970 01:02:08.100";"IN_2_0"
"23";"01-01-1970 01:02:08.100";"IN_3_0"
"21";"01-01-1970 01:02:08.100";"IN_4_0"
"26";"01-01-1970 01:02:08.100";"IN_5_0"
"22";"01-01-1970 01:02:08.100";"IN_6_0"
"24";"01-01-1970 01:02:08.100";"IN_7_0"
"0";"01-01-1970 01:02:08.500";"IN_6_3-x"
"1";"01-01-1970 01:02:08.800";"y-S1_0"
"13";"01-01-1970 01:02:09.700";"IN_2_3-x"
"15";"01-01-1970 01:02:10.200";"IN_6_3-x"
"19";"01-01-1970 01:02:10.300";"IN_5_3-x"
"13";"01-01-1970 01:02:12.700";"IN_3_3-x"
"13";"01-01-1970 01:02:14.900";"IN_4_3-x"
"2";"01-01-1970 01:02:17.000";"IN_7_3-y"
"19";"01-01-1970 01:02:17.700";"IN_6_3-x"
"10";"01-01-1970 01:02:19.200";"y-S1_0"
"0";"01-01-1970 01:02:20.100";"IN_7_3-y"
"15";"01-01-1970 01:02:21.700";"IN_7_3-y"
"5";"01-01-1970 01:02:22.500";"y-S1_0"
"9";"01-01-1970 01:02:25.300";"IN_5_3-x"
"7";"01-01-1970 01:02:28.400";"IN_5_3-x"
"19";"01-01-1970 01:02:29.300";"IN_7_3-y"
"23";"01-01-1970 01:02:30.400";"IN_3_3-x"
"24";"01-01-1970 01:02:31.000";"IN_7_3-y"
"23";"01-01-1970 01:02:32.500";"IN_4_3-x"
"9";"01-01-1970 01:02:32.800";"IN_6_3-x"
"21";"01-01-1970 01:02:35.700";"IN_4_3-x"
"7";"01-01-1970 01:02:35.900";"IN_6_3-x"
"8";"01-01-1970 01:02:36.200";"y-S1_0"
"22";"01-01-1970 01:02:37.500";"IN_6_3-x"
"20";"01-01-1970 01:02:39.900";"IN_1_3-x"
"26";"01-01-1970 01:02:41.500";"IN_5_3-x"
"20";"01-01-1970 01:02:42.000";"IN_2_3-x"
"34";"01-01-1970 01:02:42.900";"IN_1_0"
"32";"01-01-1970 01:02:42.900";"IN_2_0"
"30";"01-01-1970 01:02:42.900";"IN_3_0"
"28";"01-01-1970 01:02:42.900";"IN_4_0"
"33";"01-01-1970 01:02:42.900";"IN_5_0"
"29";"01-01-1970 01:02:42.900";"IN_6_0"
"31";"01-01-1970 01:02:42.900";"IN_7_0"
"6";"01-01-1970 01:02:43.800";"IN_5_3-x"
"9";"01-01-1970 01:02:44.400";"IN_7_3-y"
"20";"01-01-1970 01:02:45.000";"IN_3_3-x"
"20";"01-01-1970 01:02:47.200";"IN_4_3-x"
"7";"01-01-1970 01:02:47.500";"IN_7_3-y"
"26";"01-01-1970 01:02:48.900";"IN_6_3-x"
"22";"01-01-1970 01:02:49.000";"IN_7_3-y"
"12";"01-01-1970 01:02:49.900";"y-S1_0"
"6";"01-01-1970 01:02:51.300";"IN_6_3-x"
"17";"01-01-1970 01:02:51.500";"y-S1_0"
"17";"01-01-1970 01:02:52.800";"y-S2_0"
"16";"01-01-1970 01:02:57.600";"IN_5_3-x"
"26";"01-01-1970 01:03:00.500";"IN_7_3-y"
"14";"01-01-1970 01:03:00.700";"IN_5_3-x"
"6";"01-01-1970 01:03:02.900";"IN_7_3-y"
"31";"01-01-1970 01:03:04.700";"IN_7_3-y"
"16";"01-01-1970 01:03:05.100";"IN_6_3-x"
"30";"01-01-1970 01:03:05.200";"IN_3_3-x"
"30";"01-01-1970 01:03:07.300";"IN_4_3-x"
"14";"01-01-1970 01:03:08.200";"IN_6_3-x"
"41";"01-01-1970 01:03:08.800";"IN_1_0"
"39";"01-01-1970 01:03:08.800";"IN_2_0"
"37";"01-01-1970 01:03:08.800";"IN_3_0"
"35";"01-01-1970 01:03:08.800";"IN_4_0"
"40";"01-01-1970 01:03:08.800";"IN_5_0"
"36";"01-01-1970 01:03:08.800";"IN_6_0"
"38";"01-01-1970 01:03:08.800";"IN_7_0"
"2";"01-01-1970 01:03:09.900";"y-S1_0"
"29";"01-01-1970 01:03:10.100";"IN_6_3-x"
"28";"01-01-1970 01:03:10.500";"IN_4_3-x"
"27";"01-01-1970 01:03:11.100";"IN_1_3-x"
"13";"01-01-1970 01:03:11.200";"IN_5_3-x"
"0";"01-01-1970 01:03:13.000";"y-S1_0"
"27";"01-01-1970 01:03:13.200";"IN_2_3-x"
"0";"01-01-1970 01:03:14.300";"y-S2_0"
"15";"01-01-1970 01:03:14.600";"y-S1_0"
"0";"01-01-1970 01:03:15.600";"y-S3_0"
"27";"01-01-1970 01:03:16.200";"IN_3_3-x"
"33";"01-01-1970 01:03:16.300";"IN_5_3-x"
"16";"01-01-1970 01:03:16.700";"IN_7_3-y"
"0";"01-01-1970 01:03:16.900";"y-S4_0"
"27";"01-01-1970 01:03:18.400";"IN_4_3-x"
"13";"01-01-1970 01:03:18.700";"IN_6_3-x"
"14";"01-01-1970 01:03:19.800";"IN_7_3-y"
"29";"01-01-1970 01:03:21.600";"IN_7_3-y"
"19";"01-01-1970 01:03:22.200";"y-S1_0"
"33";"01-01-1970 01:03:23.700";"IN_6_3-x"
"24";"01-01-1970 01:03:23.800";"y-S1_0"
"24";"01-01-1970 01:03:25.100";"y-S2_0"
"23";"01-01-1970 01:03:28.800";"IN_5_3-x"
"3";"01-01-1970 01:03:30.200";"z-x"
"13";"01-01-1970 01:03:30.300";"IN_7_3-y"
"37";"01-01-1970 01:03:31.100";"IN_3_3-x"
"38";"01-01-1970 01:03:31.900";"IN_7_3-y"
"21";"01-01-1970 01:03:31.900";"IN_5_3-x"
"37";"01-01-1970 01:03:33.200";"IN_4_3-x"
"33";"01-01-1970 01:03:35.300";"IN_7_3-y"
"23";"01-01-1970 01:03:36.300";"IN_6_3-x"
"35";"01-01-1970 01:03:36.400";"IN_4_3-x"
"9";"01-01-1970 01:03:37.300";"y-S1_0"
"3";"01-01-1970 01:03:39.000";"IN_1_3-x"
"21";"01-01-1970 01:03:39.400";"IN_6_3-x"
"7";"01-01-1970 01:03:40.400";"y-S1_0"
"36";"01-01-1970 01:03:40.900";"IN_6_3-x"
"3";"01-01-1970 01:03:41.200";"IN_2_3-x"
"22";"01-01-1970 01:03:41.900";"y-S1_0"
"22";"01-01-1970 01:03:43.200";"y-S2_0"
"20";"01-01-1970 01:03:43.500";"IN_5_3-x"
"3";"01-01-1970 01:03:44.200";"IN_3_3-x"
"40";"01-01-1970 01:03:45.300";"IN_5_3-x"
"34";"01-01-1970 01:03:45.900";"IN_1_3-x"
"3";"01-01-1970 01:03:46.400";"IN_4_3-x"
"1";"01-01-1970 01:03:47.200";"z-x"
